数据集名称,指标名称,地区,年份,数值,单位
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,湖北,2024,477.27,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,湖北,2023,475.44,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,湖北,2022,469.62,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,湖北,2021,477.64,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,湖北,2020,467.35,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,湖北,2019,460.15,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,湖北,2018,480.41,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,湖北,2017,482.93,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,湖北,2016,476.5,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,湖北,2015,499.61,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,湖北,2014,457.73,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,湖北,2013,446.75,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,湖北,2012,430.81,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,湖北,2011,419.2,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,湖北,2010,402.56,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,湖北,2009,400.85,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,湖北,2008,376.07,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,湖北,2007,375.54,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,湖北,2006,368.17,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,湖北,2005,382.47,公斤
