数据集名称,指标名称,地区,年份,数值,单位
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,安徽,2024,683.49,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,安徽,2023,677.78,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,安徽,2022,669.96,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,安徽,2021,669.1,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,安徽,2020,659.05,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,安徽,2019,666.34,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,安徽,2018,660.55,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,安徽,2017,645.68,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,安徽,2016,642.1,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,安徽,2015,666.92,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,安徽,2014,632.47,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,安徽,2013,589.26,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,安徽,2012,592.66,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,安徽,2011,555.81,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,安徽,2010,530.73,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,安徽,2009,516.69,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,安徽,2008,512.67,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,安徽,2007,486.42,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,安徽,2006,466.67,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,安徽,2005,426.98,公斤
