数据集名称,指标名称,地区,年份,数值,单位
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,四川,2024,434.35,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,四川,2023,429.31,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,四川,2022,419.27,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,四川,2021,427.9,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,四川,2020,421.89,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,四川,2019,419.69,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,四川,2018,420.67,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,四川,2017,421.26,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,四川,2016,421.47,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,四川,2015,415.39,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,四川,2014,409.26,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,四川,2013,412.29,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,四川,2012,405.71,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,四川,2011,403.79,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,四川,2010,392.22,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,四川,2009,382.33,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,四川,2008,382.54,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,四川,2007,372.21,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,四川,2006,349.15,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,四川,2005,392.2,公斤
