数据集名称,指标名称,地区,年份,数值,单位
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,上海,2005,59.44,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,上海,2006,61.95,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,上海,2007,57.27,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,上海,2008,58.16,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,上海,2009,62.23,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,上海,2010,58.55,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,上海,2011,58.56,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,上海,2012,57.53,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,上海,2013,53.66,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,上海,2014,52.53,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,上海,2015,51.81,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,上海,2016,46.24,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,上海,2017,41.25,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,上海,2018,41.99,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,上海,2019,38.7,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,上海,2020,36.8,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,上海,2021,37.76,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,上海,2022,38.51,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,上海,2023,41.06,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,上海,2024,39.58,公斤
