数据集名称,指标名称,地区,年份,数值,单位
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,江苏,2005,380.35,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,江苏,2006,412.12,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,江苏,2007,406.04,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,江苏,2008,412.3,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,江苏,2009,418.81,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,江苏,2010,419.03,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,江苏,2011,425.81,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,江苏,2012,433.85,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,江苏,2013,433.93,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,江苏,2014,443.18,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,江苏,2015,451.14,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,江苏,2016,443.5,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,江苏,2017,450.56,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,江苏,2018,433.97,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,江苏,2019,438.21,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,江苏,2020,440.11,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,江苏,2021,441.18,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,江苏,2022,442.88,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,江苏,2023,445.71,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,江苏,2024,446.88,公斤
