数据集名称,指标名称,地区,年份,数值,单位
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,福建,2005,202.92,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,福建,2006,178.46,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,福建,2007,171.09,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,福建,2008,169.07,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,福建,2009,166.36,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,福建,2010,158.89,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,福建,2011,155.44,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,福建,2012,146.58,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,福建,2013,142.16,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,福建,2014,137.32,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,福建,2015,130.82,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,福建,2016,123.76,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,福建,2017,125.15,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,福建,2018,122.07,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,福建,2019,119.86,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,福建,2020,121.07,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,福建,2021,121.33,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,福建,2022,121.47,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,福建,2023,122.08,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,福建,2024,122.82,公斤
