数据集名称,指标名称,地区,年份,数值,单位
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,贵州,2024,296.73,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,贵州,2023,290.04,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,贵州,2022,289.22,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,贵州,2021,284.01,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,贵州,2020,274.5,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,贵州,2019,274.12,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,贵州,2018,277.95,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,贵州,2017,348.27,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,贵州,2016,356.88,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,贵州,2015,344.01,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,贵州,2014,335.49,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,贵州,2013,307.97,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,贵州,2012,334.16,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,贵州,2011,265.66,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,贵州,2010,307.68,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,贵州,2009,313.58,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,贵州,2008,305.1,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,贵州,2007,287.58,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,贵州,2006,277.28,公斤
按人口平均的主要农产品产量,人均粮食产量 (公斤) ,贵州,2005,309.8,公斤
